scenario_id,vehicle_count,pedestrian_count,cyclist_count,lane_count,stop_sign_count,crosswalk_count,speed_bump_count,max_velocity_mps,max_deceleration,max_yaw_rate,is_valid_physics,risk_tier_numeric,target_risk_matrix,min_inter_agent_dist,avg_agent_velocity,velocity_std,predicted_risk_probability,predicted_critical_class
d7e492b8b3751209,297,101,0,260,6,7,0,20.96,20.73,10.06,True,3,Critical Complexity,0.07071067811891199,3.337519379844961,3.415600105264342,0.8901229,1
c9792eac472b789,226,106,0,233,5,5,4,20.42,12.93,9.46,True,3,Critical Complexity,0.16124515496602176,3.33381679389313,3.4359168155504123,0.8856061,1
9774e3e4f34a0826,266,52,0,259,16,19,11,19.75,18.82,8.64,True,3,Critical Complexity,0.13341664064092043,3.9906896551724143,3.632055493874321,0.8842497,1
1ed62a05155b14f7,261,24,0,246,6,10,4,21.88,14.06,11.89,True,3,Critical Complexity,0.1702938636593361,5.28258064516129,6.377847228944452,0.88350374,1
2a08d3fd0fd564f3,259,21,3,94,2,5,1,32.65,22.27,9.02,True,1,Critical Complexity,0.1081665382639159,8.391857142857145,7.012184557276436,0.87791014,1
85c07600d64ed773,126,56,0,11,1,7,0,26.15,23.84,7.87,True,1,Critical Complexity,0.050000000001091394,4.396184210526316,5.828728074465859,0.87730646,1
4437af741fe9f78a,130,107,0,123,0,16,0,16.58,14.44,10.8,True,3,Critical Complexity,0.0640312423744478,3.309784172661871,3.3805000412598916,0.87719357,1
532747c8a38f5e9b,288,63,0,309,1,11,1,22.75,16.75,7.09,True,3,Critical Complexity,0.06324555320374148,3.4390000000000005,3.7449497993965157,0.8751189,1
e528b528215745d7,281,85,0,224,1,7,0,19.26,13.48,9.71,True,3,Critical Complexity,0.040000000000873115,3.658181818181818,3.673329608573554,0.8735796,1
97d25fb64b141c6b,162,35,8,69,4,8,1,32.77,28.46,9.93,True,1,Critical Complexity,0.014142135623886403,5.731807228915662,5.731328436722703,0.8708902,1
5631e8b8d4c20a05,113,41,0,98,9,15,0,35.95,12.3,6.58,True,1,Critical Complexity,0.05385164807129606,4.363125,5.243621385490661,0.868979,1
ef2997d38784b8e8,193,141,3,43,4,6,0,17.08,16.55,8.1,True,3,Critical Complexity,0.0499999999998181,3.517719298245614,3.3089672692613297,0.8688506,1
ee8ea067838b8671,183,135,4,206,6,16,7,20.85,19.24,11.87,True,3,Critical Complexity,0.02236067977497756,4.0363190184049085,4.316928292890364,0.86836886,1
4eeda04c5c03e28e,273,33,0,147,3,5,1,25.38,13.83,7.3,True,3,Critical Complexity,0.08246211251227821,8.561869918699186,6.31431402007015,0.867389,1
daa26d4c23ff9cfc,123,61,4,95,18,18,0,20.48,13.37,9.47,True,3,Critical Complexity,0.12649110640690775,3.3593975903614464,3.5717564608209056,0.8658369,1
32105996fb04e439,147,149,6,93,0,7,0,23.55,21.01,8.42,True,3,Critical Complexity,0.010000000000218279,5.353272727272729,4.783374447755269,0.86580944,1
16b80deef9c88e5e,285,2,0,12,0,0,0,24.55,18.77,9.85,True,3,Critical Complexity,0.41593268686330903,10.297380952380953,8.292927583338367,0.86393577,1
dd3e572afec62c35,102,212,5,168,3,8,0,33.33,29.08,8.28,True,1,Critical Complexity,0.03605551275490665,3.1139857651245553,3.9681414278294627,0.8636506,1
1360cafa2bb7a32f,294,140,0,262,6,10,5,21.12,19.53,12.26,True,3,Critical Complexity,0.06324555320327412,2.702694610778443,2.8224021359326286,0.86175877,1
67eeb9d17bd826e,204,86,0,74,4,10,4,16.08,15.72,7.96,True,3,Critical Complexity,0.13038404810424828,3.307864077669902,3.621095057909737,0.8599091,1
9cb0975ff6382119,111,186,6,96,3,4,0,16.25,16.2,9.1,True,3,Critical Complexity,0.060827625304272555,3.0606249999999995,3.146316662058418,0.8596591,1
ac4e7c4fc14e8b93,269,100,1,154,1,5,2,15.16,11.11,10.91,True,2,Standard Complexity,0.060827625302964254,3.037107438016529,2.9465167663824303,0.85902804,1
1e321ac0560e4f07,273,41,0,279,0,5,0,21.4,17.57,7.26,True,3,Critical Complexity,0.12083045973572291,3.0908620689655173,3.74455341680685,0.8579913,1
3ff14680898181bf,282,32,0,172,4,5,2,21.36,16.06,10.19,True,3,Critical Complexity,0.07810249675884995,8.216535433070867,5.38883935291999,0.85550326,1
9eb8977d25d6a28f,252,18,1,547,1,17,19,24.54,23.51,9.89,True,1,Critical Complexity,0.0999999999994543,9.724025974025972,6.578205111793934,0.8541441,1
ebb7e4453e8cf6ed,414,26,0,173,1,8,4,18.03,13.12,8.22,True,3,Critical Complexity,0.16155494421367708,6.905392156862745,5.002754862949215,0.8526386,1
117129e23e8a6cab,235,40,0,286,3,15,3,21.39,17.47,9.61,True,3,Critical Complexity,0.0860232526704802,5.293333333333334,5.805007799784214,0.8523985,1
e3ee0041186f225c,281,20,3,199,1,6,3,26.16,26.11,6.7,True,1,Critical Complexity,0.3613862199918012,6.353118279569893,5.329057892185823,0.8523096,1
59b51f55ff449c1c,191,77,0,101,0,11,0,21.87,15.37,8.61,True,3,Critical Complexity,0.05099019513704085,5.983437499999999,5.578093093396143,0.8520309,1
83ef22ec567e6ee8,268,31,0,90,2,4,0,27.81,20.34,7.06,True,1,Critical Complexity,0.03162277660170896,8.132058823529412,6.242759466874058,0.85140353,1
6de9d445dd87c0b2,242,12,2,134,12,13,1,20.88,13.89,10.96,True,3,Critical Complexity,0.38832975677894715,6.819298245614036,5.361203995323309,0.8512772,1
fb00651b49bbe3b,323,92,0,89,5,4,4,20.78,20.52,10.72,True,3,Critical Complexity,0.036055512754796286,4.8687499999999995,4.7124214894937895,0.8512277,1
ec56e9187cbb99b8,344,25,0,169,1,8,3,19.29,9.17,10.87,True,2,Standard Complexity,0.2817800560721053,7.687395833333333,5.5908115177180955,0.850723,1
280538823d11b005,223,29,0,106,6,5,7,25.49,13.5,6.62,True,3,Critical Complexity,0.4560701700396991,8.603608247422681,6.705231406719975,0.8491836,1
5cd327892777cd4d,240,16,0,429,21,11,7,33.81,23.97,6.4,True,1,Critical Complexity,0.21470910553561184,8.903611111111111,7.502889499970357,0.84892696,1
2d51e5e3a9bcf1dd,270,19,1,323,2,14,8,26.12,20.05,9.05,True,1,Critical Complexity,0.6624198064671283,8.015641025641024,5.944912625728629,0.8485962,1
8e6faaae9c1e5304,358,72,0,305,5,11,5,17.38,15.51,9.08,True,3,Critical Complexity,0.07810249675934486,3.642525252525253,3.62822948263409,0.8476872,1
615639a930e9d1c9,225,127,0,220,5,5,5,20.41,15.42,10.65,True,3,Critical Complexity,0.08944271909991024,3.015524475524476,3.0528921695748275,0.8462057,1
fa43b0834b5ff616,128,25,0,60,0,20,0,21.8,21.61,8.73,True,3,Critical Complexity,0.22022715545480814,5.580930232558139,5.803587829335137,0.84589887,1
8166f432df912963,269,31,1,99,15,0,0,24.55,13.97,7.99,True,3,Critical Complexity,0.1264911064094962,3.7996875,4.254059446851178,0.8458283,1
1f50370083096f3f,274,21,0,523,1,14,17,21.4,17.23,12.6,True,3,Critical Complexity,0.05385164807167606,7.6157894736842096,5.4039364948053565,0.8455611,1
a2b9dea72c2304d9,239,76,0,48,4,6,0,16.1,13.99,9.5,True,3,Critical Complexity,0.07280109889273897,3.705263157894737,3.5975750142810785,0.8451375,1
6668f25495d1d01e,175,42,0,70,8,10,0,25.97,19.06,7.52,True,1,Critical Complexity,0.028284271247436175,5.090285714285713,5.55912813601675,0.84416837,1
f0ccad7e0c67bc7b,176,39,0,63,0,4,0,20.53,17.54,9.78,True,3,Critical Complexity,0.08246211251236094,7.0344565217391315,5.057129999818688,0.8438885,1
8119e93c1a9b1241,311,41,1,141,12,6,2,20.11,18.45,8.53,True,3,Critical Complexity,0.07071067811926571,3.7376,4.086100941810746,0.8437013,1
282e978d9ee93df2,131,48,1,58,12,14,1,20.85,18.19,9.66,True,3,Critical Complexity,0.08062257748291217,3.5741176470588236,4.080596926955273,0.84277177,1
9eca79576943cebf,247,75,0,274,6,11,5,22.71,17.72,7.5,True,3,Critical Complexity,0.030000000000001137,4.253805309734513,4.406042977906326,0.84270734,1
53887825452515ee,246,12,2,349,10,17,4,22.55,18.76,6.57,True,3,Critical Complexity,0.11401754250991293,5.615384615384617,5.187897699876,0.8422031,1
81a24830ee08c1f4,361,21,1,175,4,16,9,23.68,23.26,6.38,True,1,Critical Complexity,0.574891294071889,7.591052631578948,6.10024221095504,0.84178466,1
50b92737c9452b24,230,36,1,284,0,10,8,36.16,35.44,7.03,True,1,Critical Complexity,0.2716615541441014,7.048631578947368,6.373694724664282,0.84151053,1
ed5fff73931ea86c,203,20,0,71,0,4,0,20.13,14.84,6.65,True,3,Critical Complexity,0.20024984394505282,8.683780487804878,5.692894081658742,0.8403413,1
bda1a6bd3ce815f,216,27,7,184,2,5,3,23.42,12.33,8.46,True,3,Critical Complexity,0.3130495168498892,5.558939393939394,6.093320020737036,0.8400067,1
7410216271959c91,248,35,4,137,0,4,6,21.89,16.44,6.64,True,3,Critical Complexity,0.060827625302515696,7.486640625,5.5665081454489584,0.8392561,1
9ffaf45885f2ee98,118,139,6,95,0,8,0,20.78,16.72,9.71,True,3,Critical Complexity,0.028284271248079286,3.5100000000000002,3.4690440043833153,0.8392206,1
b99f9bf9645eb34b,218,23,0,193,9,10,6,17.63,15.45,9.54,True,3,Critical Complexity,0.1726267650163876,5.301960784313725,5.425985776383952,0.83864385,1
60f4b02549d015ef,328,77,0,205,13,6,2,16.74,11.17,10.7,True,2,Standard Complexity,0.08944271909991024,4.251188811188812,4.152424599587502,0.83846086,1
9a7bd54058c96f62,151,49,1,172,6,15,1,16.95,11.79,10.26,True,3,Critical Complexity,0.06324555320331006,5.777804878048781,5.00343760472402,0.837928,1
d524dc0248dfcdd,230,58,0,77,3,8,2,22.36,21.99,9.01,True,3,Critical Complexity,0.050990195136684124,4.799268292682928,4.723044383138085,0.8378493,1
7a9ddd91554fc4dd,272,15,0,83,1,7,0,22.55,18.67,7.35,True,3,Critical Complexity,0.7262231062145552,8.912799999999999,7.427925966243874,0.8373729,1
289f974b39141e95,235,22,0,419,4,11,7,22.55,11.08,7.1,True,0,Standard Complexity,0.313049516848669,9.721010101010101,6.6546498507631195,0.83691436,1
886d233231551cb6,240,26,0,219,6,7,7,19.34,17.36,7.96,True,3,Critical Complexity,0.0728010988927702,9.199930555555556,5.021999725724551,0.83649176,1
68f845a5264ede75,284,62,0,68,5,6,1,22.08,21.68,11.4,True,3,Critical Complexity,0.03162277660237405,3.577319587628866,4.015877384321511,0.8363289,1
cd96e256ab00b49e,217,23,0,62,0,5,3,26.66,17.84,6.53,True,1,Critical Complexity,0.09219544457306698,4.518979591836735,5.383510441436228,0.8357275,1
b3a6728a162ba47d,251,31,0,286,4,10,10,24.34,20.13,11.71,True,3,Critical Complexity,0.1414213562373095,6.450392156862746,4.925874645449637,0.8353287,1
782a42280872667d,206,60,0,110,5,8,6,21.57,14.43,7.39,True,3,Critical Complexity,0.04472135954995512,6.785619047619048,6.357793556139923,0.8341178,1
90591aff409001bb,222,23,7,91,3,4,0,34.0,11.64,12.41,True,1,Critical Complexity,0.014142135623718088,6.850686274509805,5.396431511511942,0.833045,1
a0ec4a31497bf134,109,24,4,108,13,12,0,18.61,18.32,10.2,True,3,Critical Complexity,0.2879236009781372,7.008541666666666,5.01938325792428,0.8320617,1
3f27e76b015cd3e1,71,118,0,69,3,10,0,34.53,15.76,10.64,True,1,Critical Complexity,0.042426406870511156,6.925958904109589,7.380230309615592,0.8308299,1
70306877d4af7b54,236,34,0,325,7,10,17,18.49,12.74,7.29,True,3,Critical Complexity,0.240208242989295,7.771083333333333,5.222475912794833,0.8300715,1
8f2eeee0955c50e1,223,64,0,269,4,5,0,19.45,17.81,8.65,True,3,Critical Complexity,0.33734255586852846,3.2112499999999997,4.037988589210092,0.82991993,1
cf0d803cdeae0ebb,204,32,1,113,0,4,0,29.41,16.29,9.82,True,1,Critical Complexity,0.09219544457267238,8.040751879699249,6.062267947539075,0.8296179,1
5009c34938e062ee,242,15,1,511,2,13,18,24.02,13.18,10.33,True,3,Critical Complexity,0.5141984052873252,12.304150943396225,6.247504236474215,0.829197,1
e4e13ace59c06d32,99,70,3,100,17,9,1,16.79,16.73,11.15,True,3,Critical Complexity,0.05385164807150718,4.278604651162791,4.169313189436154,0.8288552,1
da14699abb81d0a4,231,37,0,178,2,0,2,29.19,15.31,8.38,True,1,Critical Complexity,0.21954498400083547,3.1133333333333337,4.451978223330625,0.8285537,1
88435aaff5355d7c,232,30,1,190,1,6,3,19.49,11.13,7.38,True,3,Critical Complexity,0.44922154890416605,5.210757575757576,5.431135354993539,0.8283218,1
1991861fc68b4372,232,34,0,197,2,6,4,21.64,14.95,11.33,True,3,Critical Complexity,0.11000000000012733,5.411388888888889,5.264045841987246,0.8275737,1
2f483bce395126a1,207,31,0,176,6,5,2,25.83,15.22,7.4,True,3,Critical Complexity,0.12999999999996922,8.859090909090911,6.11361774245221,0.82736415,1
d5039cadf28b52ca,310,42,0,324,3,11,4,26.75,11.22,9.49,True,0,Standard Complexity,0.496588360717256,4.844520547945206,6.345205080204402,0.82670116,1
bfb5d336685bebe3,317,71,0,382,21,4,15,35.13,29.47,9.4,True,1,Critical Complexity,0.020000000000436557,3.859807692307692,4.438735089390556,0.82666296,1
8bee6c70f2ff3742,272,5,1,333,15,12,6,28.84,26.78,6.65,True,1,Critical Complexity,0.23086792761211117,10.560384615384615,6.528906619560644,0.82508045,1
57dc512b78a2daad,119,97,6,90,0,5,17,29.35,17.45,7.89,True,1,Critical Complexity,0.08062257748294037,3.0586400000000005,3.6318701175014505,0.82245827,1
bec86fdeb113fff,124,22,0,231,9,9,1,22.63,16.0,9.21,True,3,Critical Complexity,0.11661903789641,7.805421686746987,5.222059165751956,0.82197946,1
92b35530fe804ec,181,70,1,185,1,5,3,23.2,11.02,6.84,True,0,Standard Complexity,0.170000000000153,5.008583333333333,5.1929213511974375,0.821728,1
b14f2b1d0ddf7bc5,138,22,0,75,0,5,0,32.22,31.1,7.38,True,1,Critical Complexity,0.13152946437931903,8.076515151515151,5.6627366476536345,0.8215933,1
8074729af2809e99,203,48,0,13,3,3,1,22.43,21.09,7.12,True,3,Critical Complexity,0.4750789408085523,3.389027777777778,3.88541080329217,0.8214522,1
ccdebe7ad20c3dee,205,24,0,100,0,8,2,21.76,12.9,6.56,True,3,Critical Complexity,0.17720045146672803,7.116031746031746,6.231194830437033,0.82126087,1
d8cb670317e7b0dd,281,38,0,64,4,13,4,16.88,14.43,9.37,True,3,Critical Complexity,0.05385164807150718,3.640142857142857,3.619622116368796,0.81969005,1
66519f4d5dbd62d9,239,21,3,282,8,7,11,23.25,17.84,9.03,True,3,Critical Complexity,0.07211102550921421,7.713068181818182,6.318893631216146,0.8189878,1
d1b9e2bb59a65c00,250,14,1,133,1,6,1,30.73,15.86,6.57,True,1,Critical Complexity,0.11704699910719664,8.064177215189874,6.656856293734319,0.8188732,1
fd8774c617f7e8c6,260,14,0,479,1,14,18,23.83,13.59,9.36,True,3,Critical Complexity,0.10049875621159261,7.921384615384615,6.870969000506199,0.81873304,1
474599633e2a2318,176,59,0,282,0,17,5,17.13,14.35,7.36,True,3,Critical Complexity,0.07071067811891199,3.5685555555555553,3.488681241166802,0.8178888,1
a94d901c20bfea82,288,16,1,110,2,5,1,20.59,17.63,7.16,True,3,Critical Complexity,0.09433981132050283,7.4623376623376645,5.649114376310105,0.81779176,1
528a816a8f1f707c,201,30,0,60,4,9,4,20.32,20.03,9.14,True,3,Critical Complexity,0.19416487838961557,4.789285714285714,4.946950668681399,0.81715256,1
4df857b4c65e872e,368,21,0,137,2,6,2,36.56,11.58,7.73,True,1,Critical Complexity,0.412310562561755,9.264432989690722,7.802219479238625,0.8166355,1
ad3bb1185dacb99c,146,24,0,465,12,13,3,30.29,19.13,7.81,True,1,Critical Complexity,0.10816653826388929,6.0876086956521736,5.8469833116643075,0.8163763,1
95d98dc8ca69d1dd,237,25,1,144,1,6,1,18.45,16.18,10.57,True,3,Critical Complexity,0.21023796041634932,6.867764705882353,5.054107561059056,0.8163621,1
3012fd4286868ad6,75,169,7,105,6,12,0,17.25,13.23,8.61,True,3,Critical Complexity,0.12165525060562947,4.332800000000001,4.2240820362404055,0.81584316,1
8de3ff8785526ca6,121,26,0,303,0,17,4,32.76,31.02,7.48,True,1,Critical Complexity,0.03605551275485935,7.8958695652173905,10.769271215115994,0.81566447,1
729a880d3dc8cb3e,217,94,0,230,5,5,5,21.25,17.25,10.96,True,3,Critical Complexity,0.02236067977497756,3.138306451612903,3.325420109713569,0.81512487,1
748dc55532e45fba,234,16,0,77,0,6,0,30.22,15.54,12.06,True,1,Critical Complexity,0.20024984394500742,7.631604938271605,5.3881624840976485,0.8150973,1
9950220974cb9270,339,43,0,164,7,7,7,26.26,12.7,7.89,True,0,Standard Complexity,0.07211102550921421,4.883023255813954,5.544943866968471,0.81389517,1
1af2b52f25a261dd,198,22,0,152,4,4,3,23.75,18.42,7.43,True,3,Critical Complexity,0.09219544457301766,12.340808080808083,6.629766770242637,0.8137948,1
aa543ad6690cdbc1,183,36,1,105,0,6,0,23.26,16.12,10.23,True,3,Critical Complexity,0.04472135954998054,6.285189873417722,5.725062347957332,0.81361294,1
2ea87c43db731cd0,110,97,0,133,0,14,1,25.75,22.85,10.73,True,1,Critical Complexity,0.02828427124775773,3.824656488549618,3.958415771031516,0.8135023,1
1c709e0240b8b534,147,30,0,490,15,12,8,31.88,18.61,7.92,True,1,Critical Complexity,0.1118033988749183,8.43108695652174,6.252266451059748,0.81270033,1
f15fd02d20adec43,137,26,0,96,1,9,0,34.06,19.33,12.12,True,1,Critical Complexity,0.28861739379319434,6.678507462686567,6.903087402226639,0.812414,1
761bc46117390d36,112,406,5,125,4,8,0,17.54,16.64,11.54,True,3,Critical Complexity,0.02236067977497756,3.95951048951049,3.6429219928733536,0.8107905,1
19a865e2533a78e3,268,2,1,498,10,10,8,21.01,15.57,7.43,True,3,Critical Complexity,0.1581138830097851,8.469841269841268,6.425427536158492,0.8091325,1
22c3d605550bd944,179,26,0,462,25,5,14,22.5,19.59,7.17,True,3,Critical Complexity,0.09899494936602662,4.733035714285713,5.581431242343688,0.8090774,1
8f3c87ed4fa45584,132,66,0,392,26,12,8,19.19,16.27,9.7,True,3,Critical Complexity,0.02236067977497756,4.144588235294118,4.60530807628639,0.8090007,1
f4989177205edd9e,130,29,0,49,0,3,0,21.01,13.11,7.38,True,3,Critical Complexity,0.0781024967590137,6.8178947368421055,5.865154231932718,0.80864257,1
a9cf248f73d6de3a,67,141,0,104,6,10,3,15.59,15.4,10.63,True,3,Critical Complexity,0.049999999999954525,3.4380769230769226,3.617860629231643,0.8084538,1
278f53e1a14ef32f,247,13,1,294,1,12,7,19.88,9.07,6.31,True,0,Standard Complexity,0.1941648783895219,9.7126582278481,5.019132183010681,0.80810654,1
64dd3742f8d81f7f,234,27,0,794,0,11,21,21.52,19.25,9.41,True,3,Critical Complexity,0.12165525060592851,7.686625000000001,6.457385489451207,0.80791336,1
3085c1fa9884ebca,275,24,2,287,0,10,7,21.47,20.64,6.94,True,3,Critical Complexity,0.02236067977497756,6.184782608695652,5.7702142749492396,0.807861,1
32ad13b362ee28ba,75,220,5,97,5,14,2,16.53,15.17,11.57,True,3,Critical Complexity,0.014142135623878865,3.737449392712551,3.6384214294733708,0.8073501,1
abe04161d6cc8e6b,146,41,0,84,1,3,4,23.48,11.72,7.75,True,0,Standard Complexity,0.041231056256194255,6.450804597701147,5.932172407100544,0.8067913,1
e0e1506f8e6fa3c3,143,20,2,390,9,14,7,23.78,16.77,6.54,True,3,Critical Complexity,0.16999999999997914,5.957826086956522,5.818463084475695,0.80657464,1
d95ddfa25b938002,206,44,0,13,1,7,0,17.33,15.52,11.95,True,3,Critical Complexity,0.05656854249487235,4.042083333333333,3.693400622694784,0.80514205,1
49423a4a0157ac7b,238,9,4,178,12,17,1,17.97,14.98,6.3,True,3,Critical Complexity,0.23537204591882505,7.629555555555554,6.2298642594648905,0.80477273,1
ebb3f069d7dcb0f9,116,26,0,122,15,4,0,21.38,20.52,9.56,True,3,Critical Complexity,0.22203603311167636,6.76391304347826,5.299353315042879,0.8045205,1
4f469be50e0be6c6,149,19,0,274,7,7,8,37.25,18.98,10.36,True,1,Critical Complexity,0.3087069808085881,11.002142857142855,10.851410986971384,0.80447507,1
f801f25fbb30acdf,256,0,0,95,2,5,3,25.74,13.23,6.29,True,3,Critical Complexity,0.7333484846919479,10.971774193548388,6.581102350105173,0.80444676,1
9e0cc845cbf61779,124,42,4,215,4,14,1,31.89,12.94,7.44,True,1,Critical Complexity,0.15297058540772523,7.226666666666666,6.31749119108962,0.80386007,1
45ae5012cf6765a,226,31,0,583,2,12,18,24.02,23.41,10.32,True,1,Critical Complexity,0.04472135954996306,9.365669291338584,6.134040760225847,0.803336,1
7b89dd9242bdd705,151,67,1,50,9,5,0,21.13,13.88,9.33,True,3,Critical Complexity,0.0781024967586025,2.863214285714286,3.3908044981328285,0.8030925,1
61697643150d5c04,201,44,0,147,4,6,6,27.43,24.17,7.19,True,1,Critical Complexity,0.13416407864989077,4.723972602739726,5.2896452841496,0.80283344,1
23c1579716f30f67,169,19,9,112,0,6,1,28.01,14.87,7.41,True,1,Critical Complexity,0.0,9.573737373737375,6.785634943584358,0.8023129,1
7bb700232bb6d314,170,37,4,225,8,7,4,34.04,23.32,8.52,True,1,Critical Complexity,0.07211102550921421,9.0955,5.957201922882923,0.8022147,1
adfb6bb7dd49b220,211,59,1,71,3,4,4,20.41,11.11,9.49,True,3,Critical Complexity,0.07280109889252034,4.323529411764706,4.117264856211436,0.80188257,1
333a496b6be8245a,287,25,2,128,2,6,2,17.42,9.55,7.49,True,2,Standard Complexity,0.12041594578792673,7.527857142857144,4.946615262077738,0.801729,1
87cf788cbe6fc3c5,195,62,0,419,10,8,12,23.74,14.66,8.01,True,3,Critical Complexity,0.13038404810508536,4.451086956521739,4.877752836252468,0.8008331,1
90dbe933b89872ee,209,29,0,571,8,8,13,21.57,16.33,12.56,True,3,Critical Complexity,0.1442220510186176,10.762072072072073,6.221886842967935,0.8007843,1
37aee9cd303373d0,136,64,0,12,0,2,0,16.18,15.69,10.82,True,3,Critical Complexity,0.02828427124775773,3.2163999999999997,3.316479112954982,0.8006721,1
f31e38581a59e80c,218,21,1,268,3,15,12,24.62,18.49,6.57,True,3,Critical Complexity,0.34481879299152746,6.748596491228071,5.570786091682748,0.8004849,1
116403a7c365080d,198,51,0,155,8,7,7,25.07,12.02,9.08,True,0,Standard Complexity,0.14212670403591762,4.7976,5.111299858157414,0.8000598,1
deaeb5b71547afd5,183,33,3,215,2,8,4,21.44,18.68,6.41,True,3,Critical Complexity,0.1726267650163876,5.494520547945206,5.484587631030658,0.7989609,1
309e6c3a72d0ff27,71,201,0,80,1,7,0,22.23,18.74,9.71,True,3,Critical Complexity,0.022360679775485982,3.6267555555555555,4.075675339570148,0.7985129,1
cfaf1d0c80bb4dbc,166,35,0,147,8,8,7,18.0,16.97,11.76,True,3,Critical Complexity,0.03999999999996362,5.132539682539682,5.443286229713079,0.79848164,1
201daabf99c5464a,182,23,0,121,2,14,1,32.13,24.67,6.4,True,1,Critical Complexity,0.12041594578873867,6.8954054054054055,5.42530536920826,0.7984622,1
915abeffab67b520,218,29,0,226,5,11,9,18.49,17.87,6.4,True,3,Critical Complexity,0.14142135623718088,6.623749999999999,5.360743739211939,0.79834485,1
84d2adfd7a6721bb,155,79,0,69,2,4,4,16.92,15.23,10.58,True,3,Critical Complexity,0.0707106781186226,3.7291262135922327,4.005315668637037,0.7982204,1
5d95e0aeb9b4b46a,205,28,0,577,3,12,14,23.11,14.63,7.67,True,3,Critical Complexity,0.11661903789702416,10.487211538461539,6.305286770872819,0.7976152,1
ae7545cefd642d33,193,24,0,67,0,4,0,32.53,30.32,7.38,True,1,Critical Complexity,0.05999999999994543,6.224059405940595,5.005756127930376,0.7974011,1
1cb8bdf64496e710,111,41,2,368,0,10,9,35.45,18.41,18.84,True,1,Critical Complexity,0.1886796226412015,9.43467391304348,6.828468771491345,0.7971464,1
dc9b76b5d9636831,249,34,6,148,16,16,0,18.87,16.8,11.65,True,3,Critical Complexity,0.02236067977497756,2.749230769230769,3.161061801986214,0.7970255,1
e7d8b8d9320e7442,131,70,0,119,1,5,1,27.61,17.89,9.11,True,1,Critical Complexity,0.036055512754796286,7.125,5.362345952465586,0.7967433,1
ed49dc861a4085c7,284,18,0,144,2,6,2,18.35,17.94,7.73,True,3,Critical Complexity,0.12206555615735175,6.3652054794520545,5.177816514891947,0.7966101,1
a402b81804ad44c5,73,167,7,85,0,10,0,20.2,12.64,11.63,True,3,Critical Complexity,0.010000000000218279,4.075754716981132,3.6307329287918715,0.79651165,1
5a6360355be19264,351,28,0,120,1,6,1,22.98,22.29,9.33,True,3,Critical Complexity,0.04472135955000596,5.963764705882353,5.970182375078293,0.7960889,1
f2df9f86e99f127d,166,17,0,231,9,6,4,22.16,17.11,7.54,True,3,Critical Complexity,0.05656854249487235,10.028450704225353,6.107035575070409,0.79580694,1
8235530dcad3d187,308,87,0,26,1,7,0,17.98,16.37,9.12,True,3,Critical Complexity,0.12165525060607803,2.9786178861788613,3.1167390518623246,0.7957775,1
8cadda239d7abd18,213,13,1,76,2,5,3,30.21,26.49,6.7,True,1,Critical Complexity,0.21095023109732436,10.694545454545455,6.718993472108521,0.795363,1
